opa_row_id,parcel_number,location,unit,BUILDING_ID,match_method,match_distance_ft,opa_residential,opa_commercial,opa_vacant,units_exact_record,units_min_record,unit_record_method
8679,888151210,627-37 N 18TH ST,110,1028212,within,0.0,1,0,0,1.0,1,single_family_1
8680,172450300,6321 N 21ST ST,,1166076,within,0.0,1,0,0,1.0,1,single_family_1
8681,621531700,6241 FARNSWORTH ST,,1274898,within,0.0,1,0,0,1.0,1,single_family_1
8682,406266300,6444 GARMAN ST,,1374983,within,0.0,1,0,0,1.0,1,single_family_1
8683,552429000,6312 GILLESPIE ST,,1249788,within,0.0,1,0,0,1.0,1,single_family_1
8684,651165040,4406 MCMENAMY ST,,1316871,within,0.0,1,0,0,,2,multifamily_unknown
8686,881225601,4411 SHEFFIELD AVE,,1344938,within,0.0,1,0,0,,5,apartment_gt4_unknown
8687,61262600,663 BROOKLYN ST,,1498808,within,0.0,1,0,0,1.0,1,single_family_1
8688,421510700,4805 GRANSBACK ST,,1188536,within,0.0,1,0,0,1.0,1,single_family_1
8689,232278000,4927 DUFFIELD ST,,1392658,within,0.0,1,0,0,1.0,1,single_family_1
8690,351025100,4828 E ROOSEVELT BLVD,,1226466,within,0.0,1,0,0,,2,multifamily_unknown
8691,591234800,5840 CRITTENDEN ST,,1155567,within,0.0,1,0,0,1.0,1,single_family_1
8692,42186300,5636 HAVERFORD AVE,,1446959,within,0.0,1,0,0,1.0,1,single_family_1
8693,562290000,2049 NESTER ST,,1234182,within,0.0,1,0,0,1.0,1,single_family_1
8694,401042500,2036 S CECIL ST,,1496807,within,0.0,1,0,0,1.0,1,single_family_1
8695,314004705,2000 E CUMBERLAND ST,,1012605,within,0.0,1,0,0,,2,multifamily_unknown
8696,211166200,300 CARSON ST,,1152781,within,0.0,1,0,0,1.0,1,single_family_1
8697,292218200,3030 REDNER ST,,1019824,within,0.0,1,0,0,1.0,1,single_family_1
8698,252433400,3060 COLLINS ST,,1056295,within,0.0,1,0,0,1.0,1,single_family_1
8699,71498900,3110 D ST,,1065375,within,0.0,1,0,0,1.0,1,single_family_1
8700,432114100,3620 N 9TH ST,,1206819,within,0.0,1,0,0,1.0,1,single_family_1
8702,502055600,8010 BALDWIN ST,,1100627,within,0.0,1,0,0,,2,multifamily_unknown
8704,372390700,1231 W CAMBRIA ST,,1073882,within,0.0,1,0,0,1.0,1,single_family_1
8705,532350000,1208 ENGLEWOOD ST,,1385427,within,0.0,1,0,0,,2,multifamily_unknown
8706,42122500,123 N SALFORD ST,,1505689,within,0.0,1,0,0,1.0,1,single_family_1
8707,281297000,2511 W SERGEANT ST,,1193713,within,0.0,1,0,0,1.0,1,single_family_1
8708,501446600,2461 78TH AVE,,1154731,within,0.0,1,0,0,1.0,1,single_family_1
8709,621051200,1362 SANGER ST,,1314266,within,0.0,1,0,0,1.0,1,single_family_1
8710,342282700,1422 N ROBINSON ST,,1401686,within,0.0,1,0,0,1.0,1,single_family_1
8711,562126000,1630 BENSON ST,,1350871,within,0.0,1,0,0,,2,multifamily_unknown
8712,561559300,1705 LONEY ST,,1296519,within,0.0,1,0,0,,2,multifamily_unknown
8713,582588753,1704 NATHANIEL PL,,1263494,within,0.0,1,0,0,1.0,1,single_family_1
8714,183000146,1701 N 4TH ST,,2001139,within,0.0,1,0,0,1.0,1,single_family_1
8715,251129200,2723 E CLEARFIELD ST,,1012190,within,0.0,1,0,0,1.0,1,single_family_1
8716,101122900,7164 N 19TH ST,,1128172,within,0.0,1,0,0,1.0,1,single_family_1
8717,882971625,7213 STATE RD,,1261942,within,0.0,0,1,0,0.0,0,non_residential
8718,393094900,720 TREE ST,,1379217,within,0.0,1,0,0,1.0,1,single_family_1
8721,112327200,3535 N 24TH ST,,1177608,within,0.0,1,0,0,1.0,1,single_family_1
8722,582334800,1104 WELTON ST,,1302276,within,0.0,1,0,0,1.0,1,single_family_1
8723,394026400,1114 MERCY ST,,1395059,within,0.0,1,0,0,1.0,1,single_family_1
8725,181053400,1030 MARLBOROUGH ST,,1055889,within,0.0,1,0,0,1.0,1,single_family_1
8726,331437405,3322 KENSINGTON AVE,,1062704,within,0.0,1,0,0,,2,multifamily_unknown
8727,351216300,607 SANGER ST,,1289067,within,0.0,1,0,0,1.0,1,single_family_1
8728,562412100,9364 CLARK ST,,1337699,within,0.0,1,0,0,1.0,1,single_family_1
8729,21440100,918 S FAIRHILL ST,,1430419,within,0.0,1,0,0,1.0,1,single_family_1
8731,652266300,9319-21 JACKSON ST,,1262405,within,0.0,1,0,0,1.0,1,single_family_1
8732,581143800,874 MOREFIELD RD,,1223778,within,0.0,1,0,0,1.0,1,single_family_1
8733,12249800,901 TASKER ST,,1488650,within,0.0,1,0,0,1.0,1,single_family_1
8735,101034200,6627 N SMEDLEY ST,,1100295,within,0.0,1,0,0,1.0,1,single_family_1
8736,621439200,5437 AKRON ST,,1345546,within,0.0,1,0,0,1.0,1,single_family_1
8738,62055000,4344 PARRISH ST,,1485960,within,0.0,1,0,0,1.0,1,single_family_1
8740,888151230,627-37 N 18TH ST,306,1028212,within,0.0,1,0,0,1.0,1,single_family_1
8741,31086600,6035 LOCUST ST,,1454563,within,0.0,1,0,0,1.0,1,single_family_1
8742,372451600,616 W TUSCULUM ST,,1050710,within,0.0,1,0,0,1.0,1,single_family_1
8743,312138300,2723 E THOMPSON ST,,1066326,within,0.0,1,0,0,1.0,1,single_family_1
8744,281342901,2624-26 W OAKDALE ST,,1172756,within,0.0,1,0,0,1.0,1,single_family_1
8745,192033200,2615 MASCHER ST,,1025129,within,0.0,1,0,0,1.0,1,single_family_1
8748,401037500,2129 S CECIL ST,,1405713,within,0.0,1,0,0,1.0,1,single_family_1
8749,406001303,2833 S 65TH ST,,1412431,within,0.0,1,0,0,1.0,1,single_family_1
8750,111389300,2911 N BONSALL ST,,1181506,within,0.0,1,0,0,1.0,1,single_family_1
8751,382067600,3621 HAYWOOD ST,,1000800,within,0.0,1,0,0,1.0,1,single_family_1
8752,514187405,1652 S CONESTOGA ST,,1520494,within,0.0,1,0,0,1.0,1,single_family_1
8753,112084300,1604 W TIOGA ST,,1221681,within,0.0,1,0,0,1.0,1,single_family_1
8754,871550090,1648 S 24TH ST,,1488041,within,0.0,1,1,0,,1,residential_unknown
8755,211426400,253 HERMITAGE ST,,1105116,within,0.0,1,0,0,1.0,1,single_family_1
8756,663377900,12536 NANTON DR,,1361851,within,0.0,1,0,0,1.0,1,single_family_1
8757,493013500,1156 WAGNER AVE,,1160806,within,0.0,1,0,0,1.0,1,single_family_1
8759,582561000,11616 BARLOW ST,,1322020,within,0.0,1,0,0,1.0,1,single_family_1
8760,361164700,1209 S 19TH ST,,1379941,within,0.0,1,0,0,1.0,1,single_family_1
8761,181191800,1226 E BERKS ST,,1035417,within,0.0,1,0,0,1.0,1,single_family_1
8762,272159700,1350 S MELVILLE ST,,1438477,within,0.0,1,0,0,1.0,1,single_family_1
8764,311068200,2318 EMERALD ST,,1049703,within,0.0,1,0,0,1.0,1,single_family_1
8765,372147800,3157 N 9TH ST,,1078371,within,0.0,1,0,0,1.0,1,single_family_1
8767,72021900,3246 HOPE ST,,1010509,within,0.0,1,0,0,1.0,1,single_family_1
8768,133048700,314 W LOGAN ST,,1167926,within,0.0,1,0,0,1.0,1,single_family_1
8769,632095400,1010 SURREY RD,,1337414,within,0.0,1,0,0,1.0,1,single_family_1
8770,871510180,1020 N 5TH ST,,1074840,within,0.0,1,1,0,,1,residential_unknown
8771,394107400,1122 RITNER ST,,1474051,within,0.0,1,0,0,1.0,1,single_family_1
8772,151382200,720 SHIRLEY ST,,1058609,within,0.0,1,0,0,1.0,1,single_family_1
8773,552453300,7009 GILLESPIE ST,,1353687,within,0.0,1,0,0,1.0,1,single_family_1
8774,881225501,7701-03 COTTAGE ST,,1314365,within,0.0,1,0,0,,5,apartment_gt4_unknown
8776,181288700,227 E ALLEN ST,,1549831,within,0.0,1,0,0,1.0,1,single_family_1
8777,62296700,823 BROOKLYN ST,,1530254,within,0.0,1,0,0,1.0,1,single_family_1
8778,532082100,820 KERPER ST,,1294413,within,0.0,1,0,0,1.0,1,single_family_1
8780,321200000,1830 N 17TH ST,,1001630,within,0.0,1,0,0,,2,multifamily_unknown
8781,57123121,1021 N LAWRENCE ST,,1503544,within,0.0,1,0,0,1.0,1,single_family_1
8782,57024609,1119 HOPE ST,10,1054199,within,0.0,1,0,0,1.0,1,single_family_1
8783,223021200,103 W UPSAL ST,,1090581,within,0.0,1,0,0,1.0,1,single_family_1
8785,532150100,1230 GLENVIEW ST,,1395048,within,0.0,1,0,0,1.0,1,single_family_1
8786,363045100,2033 DICKINSON ST,,1495763,within,0.0,1,0,0,1.0,1,single_family_1
8787,401182200,2001 S AVONDALE ST,,1424394,within,0.0,1,0,0,1.0,1,single_family_1
8788,111054600,2032 W STELLA ST,,1205015,within,0.0,1,0,0,1.0,1,single_family_1
8789,512080600,1747 S RUBY ST,,1383480,within,0.0,1,0,0,1.0,1,single_family_1
8790,342302200,1719 N 62ND ST,,1384247,within,0.0,1,0,0,1.0,1,single_family_1
8791,131280500,3830 N 19TH ST,,1199718,within,0.0,1,0,0,1.0,1,single_family_1
8792,365094700,1331 S MOLE ST,,1534315,within,0.0,1,0,0,1.0,1,single_family_1
8793,92192100,427 W GRAVERS LN,,1113507,within,0.0,1,0,0,1.0,1,single_family_1
8794,22212900,917 CATHARINE ST,,1502447,within,0.0,1,0,0,1.0,1,single_family_1
8795,212057700,314 PENSDALE ST,,1164046,within,0.0,1,0,0,1.0,1,single_family_1
8796,451165700,3256 EMERY ST,,1071709,within,0.0,1,0,0,1.0,1,single_family_1
8797,212338325,286 PARKER AVE,G,1543589,within,0.0,1,0,0,1.0,1,single_family_1
8798,33000800,5814 CATHARINE ST,,1380723,within,0.0,1,0,0,1.0,1,single_family_1
8799,511103500,5313 HADFIELD ST,,1474433,within,0.0,1,0,0,1.0,1,single_family_1
8800,453141800,2744 PRATT ST,,1286355,within,0.0,1,0,0,1.0,1,single_family_1
8802,603113300,5344 ADDISON ST,,1378116,within,0.0,1,0,0,1.0,1,single_family_1
8803,233130600,5212 CASTOR AVE,,1240786,within,0.0,1,0,0,1.0,1,single_family_1
8804,331166200,749 E ONTARIO ST,,1044805,within,0.0,1,0,0,1.0,1,single_family_1
8805,542252900,7219 LARGE ST,,1254794,within,0.0,1,0,0,1.0,1,single_family_1
8806,403304000,7275 SAYBROOK AVE,,1449277,within,0.0,1,0,0,1.0,1,single_family_1
8807,888301452,500 ADMIRALS WAY,P270,1436387,within,0.0,1,0,1,,1,residential_unknown
8808,211102900,109 COTTON ST,,1103661,within,0.0,1,0,0,1.0,1,single_family_1
8809,57089800,1109 N ORIANNA ST,,1048339,within,0.0,1,0,0,1.0,1,single_family_1
8811,314217401,2144 E TUCKER ST,,1544896,within,0.0,1,0,0,1.0,1,single_family_1
8812,392335000,2229 S 6TH ST,,1430964,within,0.0,1,0,0,1.0,1,single_family_1
8813,292202520,3039-41 BALTZ ST,,1054233,within,0.0,1,0,0,1.0,1,single_family_1
8815,183017500,17 E COLUMBIA AVE,,1035534,within,0.0,1,0,0,1.0,1,single_family_1
8816,562217800,1815 DANFORTH ST,,1351398,within,0.0,1,0,0,1.0,1,single_family_1
8818,871505870,146-48 S 60TH ST,,1387727,within,0.0,1,1,0,,1,residential_unknown
8819,392315700,2607 S FAIRHILL ST,,1456147,within,0.0,1,0,0,1.0,1,single_family_1
8820,572197358,9400 FAIRGREEN LN,,1361286,within,0.0,1,0,0,,2,multifamily_unknown
8822,392211900,313 PORTER ST,,1410561,within,0.0,1,0,0,1.0,1,single_family_1
8823,381150000,3239 N 26TH ST,,1198878,within,0.0,1,0,0,1.0,1,single_family_1
8824,463044800,5749 CEDAR AVE,,1485375,within,0.0,1,0,0,1.0,1,single_family_1
8825,492174200,6003 N 10TH ST,,1168126,within,0.0,1,0,0,1.0,1,single_family_1
8826,101064600,7340 PITTVILLE AVE,,1126706,within,0.0,1,0,0,1.0,1,single_family_1
8827,502101400,8045 RUGBY ST,,1163875,within,0.0,1,0,0,1.0,1,single_family_1
8830,402145900,6158 GLENMORE AVE,,1472723,within,0.0,1,0,0,1.0,1,single_family_1
8833,251482300,3160 ARAMINGO AVE,,1022715,within,0.0,1,0,0,1.0,1,single_family_1
8834,313233800,2145 E LETTERLY ST,,1064556,within,0.0,1,0,0,1.0,1,single_family_1
8835,871556220,2434 S 7TH ST,,1535363,within,0.0,1,1,0,,1,residential_unknown
8836,311263600,2435 TULIP ST,,1028689,within,0.0,1,0,0,1.0,1,single_family_1
8837,662018100,11864 BASILE RD,,1283464,within,0.0,1,0,0,1.0,1,single_family_1
8838,583087008,108 COUNTY LINE RD,,1321867,within,0.0,1,0,0,1.0,1,single_family_1
8839,102335100,1943 STENTON AVE,,1104653,within,0.0,1,0,0,1.0,1,single_family_1
8840,292195400,3036 W STILES ST,,1065336,within,0.0,1,0,0,1.0,1,single_family_1
8841,871543170,3018 W GLENWOOD AVE,,1055350,within,0.0,1,1,0,1.0,1,single_family_1
8842,342219000,1425 N EDGEWOOD ST,,1408648,within,0.0,1,0,0,1.0,1,single_family_1
8843,311205620,2028 TRENTON AVE,,1008893,within,0.0,1,0,0,1.0,1,single_family_1
8844,491495700,4519 N 13TH ST,,1193411,within,0.0,1,0,0,1.0,1,single_family_1
8845,332203500,4337 PALMETTO ST,,1220562,within,0.0,1,0,0,1.0,1,single_family_1
8846,463122400,5423 NORFOLK ST,,1409442,within,0.0,1,0,0,1.0,1,single_family_1
8847,882927370,9548 BUSTLETON AVE,,1306917,within,0.0,0,1,0,0.0,0,non_residential
8848,12301000,930 FERNON ST,,1421138,within,0.0,1,0,0,1.0,1,single_family_1
8850,882125900,4396 RICHMOND ST,,1253681,within,0.0,0,1,0,0.0,0,non_residential
8851,581227400,9810 BRIDLE RD,,1315082,within,0.0,1,0,0,1.0,1,single_family_1
8852,442207600,936 N FALLON ST,,1444253,within,0.0,1,0,0,1.0,1,single_family_1
8853,121133600,529 E QUEEN LN,,1116993,within,0.0,1,0,0,1.0,1,single_family_1
8854,442166500,5301 MASTER ST,,2000985,within,0.0,1,0,0,,2,multifamily_unknown
8855,552123600,4133 GREEBY ST,,1314829,within,0.0,1,0,0,1.0,1,single_family_1
8856,421402100,5516 WESTFORD RD,,1186573,within,0.0,1,0,0,1.0,1,single_family_1
8857,132027700,4506 N CARLISLE ST,,1221517,within,0.0,1,0,0,1.0,1,single_family_1
8858,343027400,6442 W GIRARD AVE,,1488199,within,0.0,1,0,0,1.0,1,single_family_1
8860,73092400,3536 KIP ST,,1017458,within,0.0,1,0,0,,2,multifamily_unknown
8861,402220200,6113 ELMWOOD AVE,,1388728,within,0.0,1,0,0,1.0,1,single_family_1
8862,91108800,225 E GRAVERS LN,,1132482,within,0.0,1,0,0,1.0,1,single_family_1
8863,871511250,2904 N FRONT ST,,1021575,within,0.0,1,1,0,,1,residential_unknown
8864,183275500,2026 PALETHORP ST,,1028772,within,0.0,1,0,0,1.0,1,single_family_1
8865,364260200,2722 PIERCE ST,,1508702,within,0.0,1,0,0,1.0,1,single_family_1
8866,871557340,2555 S WARNOCK ST,,1372623,within,0.0,1,1,0,,1,residential_unknown
8867,562157800,2162 STRAHLE ST,,1278343,within,0.0,1,0,0,,2,multifamily_unknown
8868,364129000,1741 S 23RD ST,,1444683,within,0.0,1,0,0,,2,multifamily_unknown
8870,888036675,1626 SPRUCE ST,1,1395063,within,0.0,1,0,0,1.0,1,single_family_1
